ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202602;ARAXA;MG;TRIANGULO DO SUL;ARAXA;INTERIOR;Feminino;34 - 38 ANOS;71
202602;ENTRE RIOS DE MINAS;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Masculino;34 - 38 ANOS;10
202608;ANTONIO DIAS;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Feminino;24 - 28 ANOS;5
202606;CARANAIBA;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Masculino;29 - 33 ANOS;4
202605;EUGENOPOLIS;MG;SUDESTE;MURIAE;INTERIOR;Feminino;59+ ANOS;133
202602;ARACAI;MG;CENTRO;SETE LAGOAS;INTERIOR;Feminino;34 - 38 ANOS;5
202608;PEDRA BONITA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;59+ ANOS;31
202608;LAGOA GRANDE;MG;NOROESTE;JOAO PINHEIRO;INTERIOR;Feminino;24 - 28 ANOS;8
202601;SAO GERALDO DA PIEDADE;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;49 - 53 ANOS;1
202606;SAO JOAO DO PARAISO;MG;NORTE;TAIOBEIRAS;INTERIOR;Feminino;00 - 18 ANOS;56
202604;MANHUMIRIM;MG;LESTE DO SUL;MANHUACU;INTERIOR;Feminino;39 - 43 ANOS;25
202605;BONFINOPOLIS DE MINAS;MG;NOROESTE;UNAI;INTERIOR;Feminino;49 - 53 ANOS;16
202604;SANTANA DO MANHUACU;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;49 - 53 ANOS;12
202601;MARLIERIA;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Feminino;59+ ANOS;38
202607;CARANGOLA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;29 - 33 ANOS;77
202601;BAIXO GUANDU;ES;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;39 - 43 ANOS;6
202603;ITACARAMBI;MG;NORTE;JANUARIA;INTERIOR;Feminino;24 - 28 ANOS;20
202604;RIO CASCA;MG;LESTE DO SUL;RAUL SOARES;INTERIOR;Masculino;34 - 38 ANOS;5
202605;LUZIANIA;GO;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;34 - 38 ANOS;1
