ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;PITANGUI;MG;OESTE;PARA DE MINAS;INTERIOR;Masculino;59+ ANOS;176
202512;CRISTALIA;MG;NORTE;MONTES CLAROS;INTERIOR;Feminino;19 - 23 ANOS;5
202512;MIRACEMA;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;39 - 43 ANOS;1
202512;RIO DOCE;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Feminino;54 - 58 ANOS;6
202512;SAO SEBASTIAO DO OESTE;MG;OESTE;DIVINOPOLIS;INTERIOR;Feminino;29 - 33 ANOS;2
202512;JEQUITAI;MG;NORTE;PIRAPORA;INTERIOR;Masculino;44 - 48 ANOS;6
202512;PORTO FIRME;MG;LESTE DO SUL;VICOSA;INTERIOR;Feminino;34 - 38 ANOS;5
202512;SACRAMENTO;MG;TRIANGULO DO SUL;UBERABA;INTERIOR;Masculino;29 - 33 ANOS;21
202512;ARINOS;MG;NOROESTE;ARINOS;INTERIOR;Feminino;00 - 18 ANOS;19
202512;CONCEICAO DA APARECIDA;MG;SUL;ALFENAS;INTERIOR;Masculino;24 - 28 ANOS;10
202512;SAO JOSE DO JACURI;MG;LESTE;PECANHA;INTERIOR;Feminino;44 - 48 ANOS;11
202512;SAO JOAO DO ORIENTE;MG;LESTE;CARATINGA;INTERIOR;Feminino;44 - 48 ANOS;15
202512;BOTELHOS;MG;SUL;POCOS DE CALDAS;INTERIOR;Feminino;44 - 48 ANOS;25
202512;SAO MIGUEL DO ANTA;MG;LESTE DO SUL;VICOSA;INTERIOR;Feminino;49 - 53 ANOS;11
202512;MATIAS CARDOSO;MG;NORTE;MANGA;INTERIOR;Masculino;34 - 38 ANOS;2
202512;BRUMADINHO;MG;CENTRO;BETIM;RMBH;Feminino;24 - 28 ANOS;21
202512;OLIVEIRA FORTES;MG;SUDESTE;SANTOS DUMONT;INTERIOR;Masculino;54 - 58 ANOS;4
202512;DIVINO DAS LARANJEIRAS;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;59+ ANOS;72
202512;MEDEIROS;MG;OESTE;FORMIGA;INTERIOR;Masculino;34 - 38 ANOS;2
202512;ORINDIUVA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;54 - 58 ANOS;1
